Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1961","1961","ha","44500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1962","1962","ha","38500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1963","1963","ha","33700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1964","1964","ha","26500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1965","1965","ha","21700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1966","1966","ha","23500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1967","1967","ha","30600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1968","1968","ha","39300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1969","1969","ha","48500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1970","1970","ha","66800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1971","1971","ha","84800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1972","1972","ha","91600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1973","1973","ha","101200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1974","1974","ha","108500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1975","1975","ha","115700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1976","1976","ha","120500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1977","1977","ha","121620","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1978","1978","ha","125640","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1979","1979","ha","130370","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1980","1980","ha","138900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1981","1981","ha","145890","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1982","1982","ha","153750","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1983","1983","ha","161710","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1984","1984","ha","164940","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1985","1985","ha","168230","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1986","1986","ha","165000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1987","1987","ha","178305","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1988","1988","ha","185083","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1989","1989","ha","186660","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1990","1990","ha","187198","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1991","1991","ha","193638","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1992","1992","ha","194561","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1993","1993","ha","191256","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1994","1994","ha","200000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1995","1995","ha","210000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1996","1996","ha","217099","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1997","1997","ha","222700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1998","1998","ha","227680","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1999","1999","ha","231000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2000","2000","ha","230000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2001","2001","ha","240000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2002","2002","ha","240000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2003","2003","ha","250000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2004","2004","ha","201200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2005","2005","ha","230700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2006","2006","ha","226600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2007","2007","ha","252000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2008","2008","ha","264000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2009","2009","ha","274000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2010","2010","ha","282900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2011","2011","ha","289100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2012","2012","ha","321900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2013","2013","ha","312000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2014","2014","ha","313040","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2015","2015","ha","319000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2016","2016","ha","277000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2017","2017","ha","305000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2018","2018","ha","301000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1961","1961","hg/ha","41573","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1962","1962","hg/ha","41558","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1963","1963","hg/ha","41543","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1964","1964","hg/ha","41509","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1965","1965","hg/ha","41475","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1966","1966","hg/ha","41489","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1967","1967","hg/ha","41503","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1968","1968","hg/ha","41476","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1969","1969","hg/ha","41443","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1970","1970","hg/ha","41467","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1971","1971","hg/ha","41509","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1972","1972","hg/ha","47271","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1973","1973","hg/ha","50889","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1974","1974","hg/ha","54562","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1975","1975","hg/ha","44080","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1976","1976","hg/ha","41494","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1977","1977","hg/ha","41399","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1978","1978","hg/ha","43383","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1979","1979","hg/ha","50780","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1980","1980","hg/ha","47372","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1981","1981","hg/ha","56329","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1982","1982","hg/ha","60291","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1983","1983","hg/ha","59774","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1984","1984","hg/ha","59773","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1985","1985","hg/ha","59773","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1986","1986","hg/ha","76242","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1987","1987","hg/ha","48311","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1988","1988","hg/ha","53776","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1989","1989","hg/ha","58080","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1990","1990","hg/ha","58435","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1991","1991","hg/ha","60680","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1992","1992","hg/ha","58991","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1993","1993","hg/ha","61083","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1994","1994","hg/ha","65000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1995","1995","hg/ha","57143","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1996","1996","hg/ha","55798","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1997","1997","hg/ha","58751","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1998","1998","hg/ha","58002","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1999","1999","hg/ha","59740","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2000","2000","hg/ha","45652","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2001","2001","hg/ha","51250","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2002","2002","hg/ha","48333","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2003","2003","hg/ha","58800","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2004","2004","hg/ha","75626","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2005","2005","hg/ha","75379","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2006","2006","hg/ha","80053","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2007","2007","hg/ha","64444","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2008","2008","hg/ha","75795","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2009","2009","hg/ha","72445","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2010","2010","hg/ha","62821","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2011","2011","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2012","2012","hg/ha","68450","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2013","2013","hg/ha","61378","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2014","2014","hg/ha","79788","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2015","2015","hg/ha","66897","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2016","2016","hg/ha","91011","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2017","2017","hg/ha","74262","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2018","2018","hg/ha","77309","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1961","1961","tonnes","185000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1962","1962","tonnes","160000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1963","1963","tonnes","140000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1964","1964","tonnes","110000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1965","1965","tonnes","90000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1966","1966","tonnes","97500","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1967","1967","tonnes","127000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1968","1968","tonnes","163000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1969","1969","tonnes","201000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1970","1970","tonnes","277000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1971","1971","tonnes","352000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1972","1972","tonnes","433000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1973","1973","tonnes","515000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1974","1974","tonnes","592000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1975","1975","tonnes","510000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1976","1976","tonnes","500000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1977","1977","tonnes","503500","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1978","1978","tonnes","545070","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1979","1979","tonnes","662020","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1980","1980","tonnes","658000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1981","1981","tonnes","821790","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1982","1982","tonnes","926980","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1983","1983","tonnes","966600","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1984","1984","tonnes","985900","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1985","1985","tonnes","1005560","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1986","1986","tonnes","1258000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1987","1987","tonnes","861404","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1988","1988","tonnes","995296","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1989","1989","tonnes","1084117","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1990","1990","tonnes","1093900","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1991","1991","tonnes","1175005","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1992","1992","tonnes","1147743","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1993","1993","tonnes","1168252","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1994","1994","tonnes","1300000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1995","1995","tonnes","1200000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1996","1996","tonnes","1211379","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1997","1997","tonnes","1308390","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1998","1998","tonnes","1320590","","Official data"
