Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1961","1961","ha","2900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1962","1962","ha","2700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1963","1963","ha","2800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1964","1964","ha","2900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1965","1965","ha","3000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1966","1966","ha","3100","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1967","1967","ha","3200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1968","1968","ha","3400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1969","1969","ha","3500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1970","1970","ha","3600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1971","1971","ha","3500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1972","1972","ha","3500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1973","1973","ha","3600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1974","1974","ha","3800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1975","1975","ha","3000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1976","1976","ha","3300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1977","1977","ha","2700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1978","1978","ha","2700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1979","1979","ha","2400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1980","1980","ha","2000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1981","1981","ha","2000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1982","1982","ha","1700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1983","1983","ha","1900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1984","1984","ha","1700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1985","1985","ha","1600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1986","1986","ha","1500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1987","1987","ha","1600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1988","1988","ha","1500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1989","1989","ha","1700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1990","1990","ha","2000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1991","1991","ha","2100","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1992","1992","ha","2200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1993","1993","ha","2300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1994","1994","ha","2400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1995","1995","ha","2519","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1996","1996","ha","2727","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1997","1997","ha","2805","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1998","1998","ha","2919","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","1999","1999","ha","3279","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2000","2000","ha","3466","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2001","2001","ha","3514","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2002","2002","ha","3603","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2003","2003","ha","3727","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2004","2004","ha","3868","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2005","2005","ha","4016","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2006","2006","ha","4197","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2007","2007","ha","4361","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2008","2008","ha","4562","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2009","2009","ha","4703","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2010","2010","ha","4826","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2011","2011","ha","4924","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2012","2012","ha","5000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2013","2013","ha","5000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2014","2014","ha","5000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2015","2015","ha","5021","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2016","2016","ha","5076","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2017","2017","ha","5032","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","526","Apricots","2018","2018","ha","5043","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1961","1961","hg/ha","27586","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1962","1962","hg/ha","30741","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1963","1963","hg/ha","30357","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1964","1964","hg/ha","30345","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1965","1965","hg/ha","30667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1966","1966","hg/ha","30645","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1967","1967","hg/ha","30625","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1968","1968","hg/ha","30294","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1969","1969","hg/ha","30000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1970","1970","hg/ha","30000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1971","1971","hg/ha","31429","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1972","1972","hg/ha","30000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1973","1973","hg/ha","30556","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1974","1974","hg/ha","30263","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1975","1975","hg/ha","31667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1976","1976","hg/ha","30303","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1977","1977","hg/ha","29630","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1978","1978","hg/ha","29630","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1979","1979","hg/ha","29167","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1980","1980","hg/ha","32500","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1981","1981","hg/ha","30000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1982","1982","hg/ha","29412","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1983","1983","hg/ha","28947","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1984","1984","hg/ha","29412","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1985","1985","hg/ha","30000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1986","1986","hg/ha","30000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1987","1987","hg/ha","30000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1988","1988","hg/ha","29000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1989","1989","hg/ha","29412","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1990","1990","hg/ha","30000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1991","1991","hg/ha","29524","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1992","1992","hg/ha","29545","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1993","1993","hg/ha","29565","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1994","1994","hg/ha","29167","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1995","1995","hg/ha","28980","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1996","1996","hg/ha","28970","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1997","1997","hg/ha","28877","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1998","1998","hg/ha","28777","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","1999","1999","hg/ha","28667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2000","2000","hg/ha","28563","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2001","2001","hg/ha","28458","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2002","2002","hg/ha","28354","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2003","2003","hg/ha","28253","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2004","2004","hg/ha","28201","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2005","2005","hg/ha","28217","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2006","2006","hg/ha","28227","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2007","2007","hg/ha","28244","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2008","2008","hg/ha","28253","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2009","2009","hg/ha","28263","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2010","2010","hg/ha","28274","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2011","2011","hg/ha","28288","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2012","2012","hg/ha","28298","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2013","2013","hg/ha","28310","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2014","2014","hg/ha","28232","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2015","2015","hg/ha","28253","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2016","2016","hg/ha","28207","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2017","2017","hg/ha","28233","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","526","Apricots","2018","2018","hg/ha","28231","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1961","1961","tonnes","8000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1962","1962","tonnes","8300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1963","1963","tonnes","8500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1964","1964","tonnes","8800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1965","1965","tonnes","9200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1966","1966","tonnes","9500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1967","1967","tonnes","9800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1968","1968","tonnes","10300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1969","1969","tonnes","10500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1970","1970","tonnes","10800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1971","1971","tonnes","11000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1972","1972","tonnes","10500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1973","1973","tonnes","11000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1974","1974","tonnes","11500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1975","1975","tonnes","9500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1976","1976","tonnes","10000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1977","1977","tonnes","8000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1978","1978","tonnes","8000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1979","1979","tonnes","7000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1980","1980","tonnes","6500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1981","1981","tonnes","6000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1982","1982","tonnes","5000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1983","1983","tonnes","5500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1984","1984","tonnes","5000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1985","1985","tonnes","4800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1986","1986","tonnes","4500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1987","1987","tonnes","4800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1988","1988","tonnes","4350","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1989","1989","tonnes","5000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1990","1990","tonnes","6000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1991","1991","tonnes","6200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1992","1992","tonnes","6500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1993","1993","tonnes","6800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1994","1994","tonnes","7000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1995","1995","tonnes","7300","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1996","1996","tonnes","7900","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1997","1997","tonnes","8100","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1998","1998","tonnes","8400","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1999","1999","tonnes","9400","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2000","2000","tonnes","9900","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2001","2001","tonnes","10000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2002","2002","tonnes","10216","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2003","2003","tonnes","10530","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2004","2004","tonnes","10908","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2005","2005","tonnes","11332","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","2006","2006","tonnes","11847","Im","FAO data based on imputation methodology"
