Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1961","1961","ha","135000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1962","1962","ha","135000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1963","1963","ha","135000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1964","1964","ha","135000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1965","1965","ha","131000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1966","1966","ha","137000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1967","1967","ha","142000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1968","1968","ha","147000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1969","1969","ha","157000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1970","1970","ha","160700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1971","1971","ha","167300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1972","1972","ha","174300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1973","1973","ha","178200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1974","1974","ha","184500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1975","1975","ha","189200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1976","1976","ha","177500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1977","1977","ha","179100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1978","1978","ha","170800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1979","1979","ha","179200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1980","1980","ha","180600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1981","1981","ha","185200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1982","1982","ha","182600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1983","1983","ha","184300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1984","1984","ha","186100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1985","1985","ha","185500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1986","1986","ha","185600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1987","1987","ha","194800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1988","1988","ha","199800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1989","1989","ha","204300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1990","1990","ha","209500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1991","1991","ha","217000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1992","1992","ha","221800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1993","1993","ha","226600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","226","Areca nuts","1994","1994","ha","235500","","Official data"
