Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1961","1961","ha","165000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1962","1962","ha","181000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1963","1963","ha","193000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1964","1964","ha","198000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1965","1965","ha","211000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1966","1966","ha","209000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1967","1967","ha","208000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1968","1968","ha","220000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1969","1969","ha","229800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1970","1970","ha","224500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1971","1971","ha","224700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1972","1972","ha","219400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1973","1973","ha","222800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1974","1974","ha","235200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1975","1975","ha","231400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1976","1976","ha","245800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1977","1977","ha","268800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1978","1978","ha","268400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1979","1979","ha","274400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1980","1980","ha","291300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1981","1981","ha","290900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1982","1982","ha","284900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1983","1983","ha","282900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1984","1984","ha","301800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1985","1985","ha","304400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1986","1986","ha","300200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1987","1987","ha","306900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1988","1988","ha","500000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1989","1989","ha","332800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1990","1990","ha","365000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1991","1991","ha","378600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1992","1992","ha","425000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1993","1993","ha","433000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1994","1994","ha","441000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1995","1995","ha","428000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1996","1996","ha","438000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1997","1997","ha","447000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1998","1998","ha","460000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","1999","1999","ha","490000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2000","2000","ha","469700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2001","2001","ha","466200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2002","2002","ha","475300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2003","2003","ha","498600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2004","2004","ha","589600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2005","2005","ha","569500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2006","2006","ha","604200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2007","2007","ha","658000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2008","2008","ha","709000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2009","2009","ha","770300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2010","2010","ha","830000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2011","2011","ha","796500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2012","2012","ha","776000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2013","2013","ha","796000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2014","2014","ha","802570","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2015","2015","ha","822000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2016","2016","ha","841000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2017","2017","ha","860000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","486","Bananas","2018","2018","ha","884000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1961","1961","hg/ha","136788","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1962","1962","hg/ha","133978","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1963","1963","hg/ha","134767","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1964","1964","hg/ha","135556","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1965","1965","hg/ha","155024","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1966","1966","hg/ha","163254","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1967","1967","hg/ha","153990","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1968","1968","hg/ha","142045","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1969","1969","hg/ha","138055","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1970","1970","hg/ha","129033","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1971","1971","hg/ha","150160","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1972","1972","hg/ha","145397","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1973","1973","hg/ha","142150","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1974","1974","hg/ha","139205","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1975","1975","hg/ha","147321","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1976","1976","hg/ha","152897","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1977","1977","hg/ha","157958","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1978","1978","hg/ha","169929","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1979","1979","hg/ha","155740","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","486","Bananas","1980","1980","hg/ha","149468","Fc","Calculated data"
