Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1961","1961","ha","3205000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1962","1962","ha","3312000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1963","1963","ha","3019000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1964","1964","ha","2774000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1965","1965","ha","2682000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1966","1966","ha","2640000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1967","1967","ha","2824800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1968","1968","ha","3375200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1969","1969","ha","2758200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1970","1970","ha","2764900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1971","1971","ha","2554600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1972","1972","ha","2455300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1973","1973","ha","2448900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1974","1974","ha","2650000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1975","1975","ha","2884900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1976","1976","ha","2801800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1977","1977","ha","2241400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1978","1978","ha","2001400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1979","1979","ha","1827800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1980","1980","ha","1771200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1981","1981","ha","1807000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1982","1982","ha","1727500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1983","1983","ha","1482800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1984","1984","ha","1386000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1985","1985","ha","1253100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1986","1986","ha","1368800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1987","1987","ha","1224700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1988","1988","ha","1142700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1989","1989","ha","1081100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1990","1990","ha","990600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1991","1991","ha","962200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1992","1992","ha","953900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1993","1993","ha","915600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1994","1994","ha","794100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1995","1995","ha","890800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1996","1996","ha","824000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1997","1997","ha","757400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1998","1998","ha","857800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","1999","1999","ha","792800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2000","2000","ha","724500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2001","2001","ha","777500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2002","2002","ha","659500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2003","2003","ha","701600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2004","2004","ha","657000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2005","2005","ha","616500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","44","Barley","2006","2006","ha","629900","","Official data"
