Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1961","1961","ha","6541248","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1962","1962","ha","6725782","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1963","1963","ha","7040000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1964","1964","ha","7332400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1965","1965","ha","7088400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1966","1966","ha","7247400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1967","1967","ha","7548200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1968","1968","ha","7406700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1969","1969","ha","7461100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1970","1970","ha","7796000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1971","1971","ha","7520500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1972","1972","ha","7491700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1973","1973","ha","8640100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1974","1974","ha","8361000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1975","1975","ha","8750100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1976","1976","ha","8204500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1977","1977","ha","8329900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1978","1978","ha","8397100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1979","1979","ha","8153400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1980","1980","ha","9298600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1981","1981","ha","9038500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1982","1982","ha","8671900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","176","Beans, dry","1983","1983","ha","9113200","","Official data"
