Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1961","1961","ha","80000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1962","1962","ha","81000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1963","1963","ha","83000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1964","1964","ha","85000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1965","1965","ha","88000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1966","1966","ha","87000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1967","1967","ha","90000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1968","1968","ha","94000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1969","1969","ha","96000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1970","1970","ha","100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1971","1971","ha","105000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1972","1972","ha","106000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1973","1973","ha","107000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1974","1974","ha","110000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1975","1975","ha","112000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1976","1976","ha","114000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1977","1977","ha","115000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1978","1978","ha","118000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1979","1979","ha","121000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1980","1980","ha","125000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1981","1981","ha","125000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1982","1982","ha","130000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1983","1983","ha","132000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1984","1984","ha","133000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1985","1985","ha","134000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1986","1986","ha","135000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1987","1987","ha","136000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1988","1988","ha","138000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1989","1989","ha","142000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1990","1990","ha","134666","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1991","1991","ha","143000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1992","1992","ha","143728","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1993","1993","ha","144000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1994","1994","ha","145000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1995","1995","ha","145209","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1996","1996","ha","148000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","414","Beans, green","1997","1997","ha","149392","Im","FAO data based on imputation methodology"
