Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1961","1961","ha","21000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1962","1962","ha","22000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1963","1963","ha","23000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1964","1964","ha","24000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1965","1965","ha","25000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1966","1966","ha","27000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1967","1967","ha","30000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1968","1968","ha","38000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1969","1969","ha","45000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1970","1970","ha","52000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1971","1971","ha","59000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1972","1972","ha","66000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1973","1973","ha","73000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1974","1974","ha","80000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1975","1975","ha","87000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1976","1976","ha","94000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1977","1977","ha","101000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1978","1978","ha","108000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1979","1979","ha","115000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1980","1980","ha","121000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1981","1981","ha","128000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1982","1982","ha","134000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1983","1983","ha","141000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1984","1984","ha","148000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1985","1985","ha","148000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1986","1986","ha","155000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1987","1987","ha","155000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1988","1988","ha","160296","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1989","1989","ha","165460","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1990","1990","ha","167896","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1991","1991","ha","178353","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1992","1992","ha","215865","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1993","1993","ha","230000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1994","1994","ha","220000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","358","Cabbages and other brassicas","1995","1995","ha","222500","F","FAO estimate"
