Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1961","1961","ha","8000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1962","1962","ha","8500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1963","1963","ha","9000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1964","1964","ha","9500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1965","1965","ha","10000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1966","1966","ha","10450","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1967","1967","ha","10900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1968","1968","ha","11300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1969","1969","ha","11800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1970","1970","ha","12000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1971","1971","ha","12400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1972","1972","ha","12800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1973","1973","ha","13300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1974","1974","ha","14000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1975","1975","ha","14300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1976","1976","ha","14500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1977","1977","ha","15000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1978","1978","ha","15500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1979","1979","ha","16000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1980","1980","ha","16200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1981","1981","ha","16300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1982","1982","ha","16800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1983","1983","ha","17000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1984","1984","ha","17500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1985","1985","ha","18000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1986","1986","ha","18500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1987","1987","ha","19000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1988","1988","ha","19500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1989","1989","ha","19700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1990","1990","ha","20000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1991","1991","ha","20124","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1992","1992","ha","20500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1993","1993","ha","20600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1994","1994","ha","20919","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1995","1995","ha","20800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1996","1996","ha","22000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1997","1997","ha","23500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","426","Carrots and turnips","1998","1998","ha","23592","Im","FAO data based on imputation methodology"
