Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1961","1961","ha","200000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1962","1962","ha","200000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1963","1963","ha","215000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1964","1964","ha","215000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1965","1965","ha","230000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1966","1966","ha","241314","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1967","1967","ha","249024","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1968","1968","ha","257107","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1969","1969","ha","265698","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1970","1970","ha","281171","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1971","1971","ha","302732","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1972","1972","ha","320034","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1973","1973","ha","328294","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1974","1974","ha","350887","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1975","1975","ha","361443","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1976","1976","ha","374653","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1977","1977","ha","375702","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1978","1978","ha","385895","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1979","1979","ha","419692","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1980","1980","ha","447376","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1981","1981","ha","464465","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1982","1982","ha","481043","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1983","1983","ha","492492","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1984","1984","ha","501953","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1985","1985","ha","509768","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1986","1986","ha","518379","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1987","1987","ha","522998","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1988","1988","ha","527395","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1989","1989","ha","529287","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1990","1990","ha","530869","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1991","1991","ha","531849","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1992","1992","ha","533549","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1993","1993","ha","560000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1994","1994","ha","565000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1995","1995","ha","577000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1996","1996","ha","635000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1997","1997","ha","659000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1998","1998","ha","675000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","1999","1999","ha","706000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","2000","2000","ha","686000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","217","Cashew nuts, with shell","2001","2001","ha","700000","","Official data"
