Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1961","1961","ha","41000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1962","1962","ha","40000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1963","1963","ha","40000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1964","1964","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1965","1965","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1966","1966","ha","60000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1967","1967","ha","60000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1968","1968","ha","70000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1969","1969","ha","80000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1970","1970","ha","90000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1971","1971","ha","90000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1972","1972","ha","100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1973","1973","ha","100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1974","1974","ha","110000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1975","1975","ha","110000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1976","1976","ha","120000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1977","1977","ha","130000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1978","1978","ha","140000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1979","1979","ha","150000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1980","1980","ha","160000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1981","1981","ha","170000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1982","1982","ha","180000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1983","1983","ha","190000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1984","1984","ha","190000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1985","1985","ha","200000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1986","1986","ha","200000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1987","1987","ha","210000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1988","1988","ha","220000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1989","1989","ha","230000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1990","1990","ha","238632","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1991","1991","ha","202787","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1992","1992","ha","222436","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1993","1993","ha","190000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1994","1994","ha","230000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1995","1995","ha","235000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1996","1996","ha","280000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1997","1997","ha","290000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1998","1998","ha","250000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","1999","1999","ha","250000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2000","2000","ha","250000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2001","2001","ha","260000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2002","2002","ha","270000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2003","2003","ha","280000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2004","2004","ha","267900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2005","2005","ha","238500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2006","2006","ha","288600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2007","2007","ha","302000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2008","2008","ha","312000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2009","2009","ha","348900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2010","2010","ha","347900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2011","2011","ha","369000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2012","2012","ha","391000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2013","2013","ha","402000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2014","2014","ha","433870","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2015","2015","ha","411000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","393","Cauliflowers and broccoli","2016","2016","ha","426000","","Official data"
