Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1961","1961","ha","1200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1962","1962","ha","1200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1963","1963","ha","1250","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1964","1964","ha","1300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1965","1965","ha","1350","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1966","1966","ha","1300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1967","1967","ha","1300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1968","1968","ha","1350","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1969","1969","ha","1400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1970","1970","ha","1400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1971","1971","ha","1500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1972","1972","ha","1500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1973","1973","ha","1500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1974","1974","ha","1500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1975","1975","ha","1500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1976","1976","ha","1500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1977","1977","ha","1500","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1978","1978","ha","1300","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1979","1979","ha","1300","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1980","1980","ha","1200","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1981","1981","ha","1000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1982","1982","ha","1000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1983","1983","ha","1300","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1984","1984","ha","1300","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1985","1985","ha","1300","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1986","1986","ha","1250","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1987","1987","ha","1245","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1988","1988","ha","1250","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1989","1989","ha","1320","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1990","1990","ha","1300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1991","1991","ha","1400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1992","1992","ha","1445","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1993","1993","ha","1500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1994","1994","ha","1600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1995","1995","ha","1625","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1996","1996","ha","1700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1997","1997","ha","1754","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1998","1998","ha","1828","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","1999","1999","ha","2678","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2000","2000","ha","2805","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2001","2001","ha","2860","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2002","2002","ha","2862","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2003","2003","ha","2932","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2004","2004","ha","2998","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2005","2005","ha","3059","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2006","2006","ha","3089","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2007","2007","ha","3137","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2008","2008","ha","3167","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2009","2009","ha","3186","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2010","2010","ha","3226","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2011","2011","ha","3266","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2012","2012","ha","3300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2013","2013","ha","3300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2014","2014","ha","3500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2015","2015","ha","3599","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2016","2016","ha","3466","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2017","2017","ha","3522","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","531","Cherries","2018","2018","ha","3529","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1961","1961","hg/ha","25000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1962","1962","hg/ha","25833","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1963","1963","hg/ha","25600","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1964","1964","hg/ha","25385","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1965","1965","hg/ha","25185","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1966","1966","hg/ha","26923","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1967","1967","hg/ha","27692","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1968","1968","hg/ha","27407","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1969","1969","hg/ha","27143","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1970","1970","hg/ha","27857","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1971","1971","hg/ha","26667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1972","1972","hg/ha","26667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1973","1973","hg/ha","26667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1974","1974","hg/ha","26667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1975","1975","hg/ha","26667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1976","1976","hg/ha","26667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1977","1977","hg/ha","26667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1978","1978","hg/ha","23077","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1979","1979","hg/ha","23077","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1980","1980","hg/ha","16667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1981","1981","hg/ha","20000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1982","1982","hg/ha","20000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1983","1983","hg/ha","23077","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1984","1984","hg/ha","23077","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1985","1985","hg/ha","23077","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1986","1986","hg/ha","8800","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1987","1987","hg/ha","8137","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1988","1988","hg/ha","16000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1989","1989","hg/ha","26515","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1990","1990","hg/ha","24615","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1991","1991","hg/ha","26429","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1992","1992","hg/ha","26298","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1993","1993","hg/ha","26667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1994","1994","hg/ha","26250","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1995","1995","hg/ha","27077","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1996","1996","hg/ha","28235","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","531","Cherries","1997","1997","hg/ha","27936","Fc","Calculated data"
