Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1961","1961","ha","616000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1962","1962","ha","637000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1963","1963","ha","748000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1964","1964","ha","716000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1965","1965","ha","634000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1966","1966","ha","721000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1967","1967","ha","788000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1968","1968","ha","663000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1969","1969","ha","682000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1970","1970","ha","783400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1971","1971","ha","753100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1972","1972","ha","682400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1973","1973","ha","738800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1974","1974","ha","685600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1975","1975","ha","739800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1976","1976","ha","781500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","689","Chillies and peppers, dry","1977","1977","ha","790900","","Official data"
