Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1961","1961","ha","2850","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1962","1962","ha","2870","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1963","1963","ha","2890","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1964","1964","ha","3100","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1965","1965","ha","3200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1966","1966","ha","3200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1967","1967","ha","3250","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1968","1968","ha","3250","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1969","1969","ha","3260","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1970","1970","ha","3270","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1971","1971","ha","3280","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1972","1972","ha","3300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1973","1973","ha","3400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1974","1974","ha","3500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1975","1975","ha","3600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1976","1976","ha","3620","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1977","1977","ha","3630","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1978","1978","ha","3650","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1979","1979","ha","3700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1980","1980","ha","3900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1981","1981","ha","3900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1982","1982","ha","4000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1983","1983","ha","4100","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1984","1984","ha","4200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1985","1985","ha","4400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1986","1986","ha","4500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1987","1987","ha","4600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1988","1988","ha","4700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1989","1989","ha","4720","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1990","1990","ha","4750","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1991","1991","ha","4783","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1992","1992","ha","4800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1993","1993","ha","4830","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1994","1994","ha","4900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","401","Chillies and peppers, green","1995","1995","ha","5000","F","FAO estimate"
