Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1961","1961","ha","723000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1962","1962","ha","793000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1963","1963","ha","798000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1964","1964","ha","848000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1965","1965","ha","884000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1966","1966","ha","893000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1967","1967","ha","923900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1968","1968","ha","988100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1969","1969","ha","1033300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1970","1970","ha","1045600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1971","1971","ha","1088400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1972","1972","ha","1099200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1973","1973","ha","1102000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1974","1974","ha","1116300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1975","1975","ha","1069900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1976","1976","ha","1074500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1977","1977","ha","1056500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1978","1978","ha","1055000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1979","1979","ha","1075800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1980","1980","ha","1083300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","249","Coconuts","1981","1981","ha","1090800","","Official data"
