Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1961","1961","ha","96000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1962","1962","ha","115000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1963","1963","ha","118000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1964","1964","ha","120000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1965","1965","ha","122000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1966","1966","ha","125000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1967","1967","ha","126000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1968","1968","ha","128000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1969","1969","ha","128000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1970","1970","ha","128000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1971","1971","ha","128000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1972","1972","ha","129000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1973","1973","ha","130000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1974","1974","ha","131000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1975","1975","ha","145000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1976","1976","ha","150000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1977","1977","ha","160000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1978","1978","ha","170000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1979","1979","ha","180000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1980","1980","ha","185000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1981","1981","ha","190000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1982","1982","ha","194000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1983","1983","ha","201000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1984","1984","ha","207100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1985","1985","ha","209400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1986","1986","ha","214476","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1987","1987","ha","215500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1988","1988","ha","218000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1989","1989","ha","221000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1990","1990","ha","221000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1991","1991","ha","223500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1992","1992","ha","223500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1993","1993","ha","223500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1994","1994","ha","226500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1995","1995","ha","228500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1996","1996","ha","242000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1997","1997","ha","251284","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1998","1998","ha","285652","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","1999","1999","ha","302234","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","2000","2000","ha","308433","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","2001","2001","ha","313934","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","2002","2002","ha","320737","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","2003","2003","ha","320615","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","2004","2004","ha","325124","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","2005","2005","ha","333338","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","2006","2006","ha","341351","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","2007","2007","ha","343040","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","656","Coffee, green","2008","2008","ha","344508","","Official data"
