Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1961","1961","ha","5500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1962","1962","ha","5900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1963","1963","ha","6300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1964","1964","ha","6800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1965","1965","ha","7200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1966","1966","ha","7500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1967","1967","ha","8000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1968","1968","ha","8300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1969","1969","ha","8500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1970","1970","ha","9000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1971","1971","ha","9300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1972","1972","ha","9600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1973","1973","ha","10000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1974","1974","ha","10200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1975","1975","ha","10500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1976","1976","ha","10800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1977","1977","ha","11000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1978","1978","ha","11500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1979","1979","ha","12000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1980","1980","ha","12300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1981","1981","ha","13000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1982","1982","ha","13500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1983","1983","ha","14000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1984","1984","ha","14500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1985","1985","ha","14500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1986","1986","ha","14700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1987","1987","ha","14800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1988","1988","ha","15000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1989","1989","ha","15300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1990","1990","ha","15900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1991","1991","ha","16288","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1992","1992","ha","16500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1993","1993","ha","16700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1994","1994","ha","16900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1995","1995","ha","17000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1996","1996","ha","17200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1997","1997","ha","17300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1998","1998","ha","17500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","1999","1999","ha","17800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","2000","2000","ha","18000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","2001","2001","ha","18193","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","2002","2002","ha","18627","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","2003","2003","ha","19087","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","397","Cucumbers and gherkins","2004","2004","ha","19581","Im","FAO data based on imputation methodology"
