Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1961","1961","ha","150000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1962","1962","ha","156000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1963","1963","ha","162000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1964","1964","ha","170000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1965","1965","ha","175000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1966","1966","ha","180000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1967","1967","ha","190000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1968","1968","ha","195000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1969","1969","ha","200000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1970","1970","ha","205000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1971","1971","ha","208000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1972","1972","ha","210000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1973","1973","ha","215000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1974","1974","ha","220000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1975","1975","ha","225000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1976","1976","ha","230000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1977","1977","ha","232000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1978","1978","ha","240000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1979","1979","ha","245000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1980","1980","ha","249000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1981","1981","ha","253000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1982","1982","ha","258000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1983","1983","ha","262000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1984","1984","ha","270000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1985","1985","ha","275000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1986","1986","ha","280000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1987","1987","ha","283000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1988","1988","ha","287000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1989","1989","ha","290000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1990","1990","ha","295000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1991","1991","ha","300000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1992","1992","ha","194000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1993","1993","ha","252000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1994","1994","ha","280000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1995","1995","ha","420000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1996","1996","ha","409514","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1997","1997","ha","430000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1998","1998","ha","480000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","1999","1999","ha","490000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","2000","2000","ha","500000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","2001","2001","ha","470000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","2002","2002","ha","500000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","2003","2003","ha","500000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","2004","2004","ha","516400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","2005","2005","ha","526500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","2006","2006","ha","559700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","2007","2007","ha","568000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","2008","2008","ha","561000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","2009","2009","ha","600300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","2010","2010","ha","612400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","399","Eggplants (aubergines)","2011","2011","ha","680000","","Official data"
