Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1961","1961","ha","90000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1962","1962","ha","90000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1963","1963","ha","100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1964","1964","ha","100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1965","1965","ha","100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1966","1966","ha","97000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1967","1967","ha","97000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1968","1968","ha","97000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1969","1969","ha","95000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1970","1970","ha","95000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1971","1971","ha","95000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1972","1972","ha","104000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1973","1973","ha","104000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1974","1974","ha","104000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1975","1975","ha","103573","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1976","1976","ha","149327","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1977","1977","ha","179612","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1978","1978","ha","201311","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1979","1979","ha","181786","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1980","1980","ha","179705","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1981","1981","ha","96544","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1982","1982","ha","151708","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1983","1983","ha","181524","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1984","1984","ha","122629","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1985","1985","ha","87154","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1986","1986","ha","94482","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1987","1987","ha","119549","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1988","1988","ha","240627","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1989","1989","ha","170693","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1990","1990","ha","151116","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1991","1991","ha","187092","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1992","1992","ha","332896","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1993","1993","ha","436351","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1994","1994","ha","303196","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1995","1995","ha","300000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1996","1996","ha","325595","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1997","1997","ha","350177","Im","FAO data based on imputation methodology"
