Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1961","1961","ha","35000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1962","1962","ha","38000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1963","1963","ha","40000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1964","1964","ha","35000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1965","1965","ha","30000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1966","1966","ha","27000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1967","1967","ha","27000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1968","1968","ha","27000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1969","1969","ha","27000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1970","1970","ha","27000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1971","1971","ha","30000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1972","1972","ha","30000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1973","1973","ha","33000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1974","1974","ha","28100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1975","1975","ha","39800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1976","1976","ha","35900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1977","1977","ha","41500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1978","1978","ha","49200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1979","1979","ha","59700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1980","1980","ha","59300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1981","1981","ha","60500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1982","1982","ha","63400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1983","1983","ha","80700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1984","1984","ha","72600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1985","1985","ha","57700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","406","Garlic","1986","1986","ha","59600","","Official data"
