Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1961","1961","ha","21000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1962","1962","ha","21000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1963","1963","ha","23000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1964","1964","ha","23000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1965","1965","ha","23000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1966","1966","ha","23000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1967","1967","ha","21000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1968","1968","ha","20000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1969","1969","ha","21000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1970","1970","ha","22000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1971","1971","ha","24590","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1972","1972","ha","22880","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1973","1973","ha","24860","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1974","1974","ha","24140","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1975","1975","ha","27200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1976","1976","ha","25650","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1977","1977","ha","36020","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1978","1978","ha","34330","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1979","1979","ha","40350","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1980","1980","ha","40450","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1981","1981","ha","40710","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1982","1982","ha","43830","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1983","1983","ha","48960","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1984","1984","ha","55510","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1985","1985","ha","53520","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1986","1986","ha","52650","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1987","1987","ha","54240","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1988","1988","ha","52000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1989","1989","ha","54000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1990","1990","ha","54000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1991","1991","ha","60000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1992","1992","ha","59900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1993","1993","ha","60580","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1994","1994","ha","87500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1995","1995","ha","90000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1996","1996","ha","70300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1997","1997","ha","76000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1998","1998","ha","78000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","1999","1999","ha","77600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2000","2000","ha","70000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2001","2001","ha","70446","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2002","2002","ha","83847","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2003","2003","ha","88200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2004","2004","ha","85100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2005","2005","ha","95300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2006","2006","ha","110600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2007","2007","ha","106100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2008","2008","ha","104360","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2009","2009","ha","108640","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2010","2010","ha","107540","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2011","2011","ha","149100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2012","2012","ha","155000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2013","2013","ha","136000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2014","2014","ha","133000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2015","2015","ha","142000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2016","2016","ha","165000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2017","2017","ha","168000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","720","Ginger","2018","2018","ha","165000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","720","Ginger","1961","1961","hg/ha","9048","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","720","Ginger","1962","1962","hg/ha","9524","Fc","Calculated data"
