Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1961","1961","ha","4400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1962","1962","ha","4600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1963","1963","ha","5000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1964","1964","ha","5600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1965","1965","ha","6200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1966","1966","ha","6800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1967","1967","ha","7100","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1968","1968","ha","7400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1969","1969","ha","7800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1970","1970","ha","8000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1971","1971","ha","8400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1972","1972","ha","8600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1973","1973","ha","8700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1974","1974","ha","5200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1975","1975","ha","5700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1976","1976","ha","5100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1977","1977","ha","9350","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1978","1978","ha","8960","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1979","1979","ha","9560","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1980","1980","ha","10230","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1981","1981","ha","10830","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1982","1982","ha","11430","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1983","1983","ha","12050","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1984","1984","ha","12390","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1985","1985","ha","12530","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1986","1986","ha","12500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1987","1987","ha","15389","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1988","1988","ha","21355","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1989","1989","ha","24878","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1990","1990","ha","25102","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","560","Grapes","1991","1991","ha","24822","","Official data"
