Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1961","1961","ha","6889000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1962","1962","ha","7283000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1963","1963","ha","6886000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1964","1964","ha","7376000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1965","1965","ha","7698000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1966","1966","ha","7299000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1967","1967","ha","7552700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1968","1968","ha","7088100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1969","1969","ha","7125400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1970","1970","ha","7326200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1971","1971","ha","7510200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1972","1972","ha","6990000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1973","1973","ha","7023700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1974","1974","ha","7170000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1975","1975","ha","7221500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1976","1976","ha","7042800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1977","1977","ha","7028500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1978","1978","ha","7433300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1979","1979","ha","7164800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1980","1980","ha","6801300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1981","1981","ha","7428700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1982","1982","ha","7215300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1983","1983","ha","7539000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1984","1984","ha","7168000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1985","1985","ha","7124800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1986","1986","ha","6982100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1987","1987","ha","6844000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1988","1988","ha","8529000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1989","1989","ha","8710200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1990","1990","ha","8309000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1991","1991","ha","8667900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1992","1992","ha","8166000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1993","1993","ha","8322000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1994","1994","ha","7849000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1995","1995","ha","7524000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1996","1996","ha","7596000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1997","1997","ha","7090000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1998","1998","ha","7396000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","1999","1999","ha","6867300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2000","2000","ha","6558600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2001","2001","ha","6238100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2002","2002","ha","5935500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2003","2003","ha","5987000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2004","2004","ha","6640400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2005","2005","ha","6736000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2006","2006","ha","5615100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2007","2007","ha","6292000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2008","2008","ha","6164900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2009","2009","ha","5477500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2010","2010","ha","5860000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2011","2011","ha","5310000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2012","2012","ha","4770000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2013","2013","ha","5505210","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2014","2014","ha","4685000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2015","2015","ha","4560000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2016","2016","ha","5310000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2017","2017","ha","5338040","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","242","Groundnuts, with shell","2018","2018","ha","4887700","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1961","1961","hg/ha","7249","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1962","1962","hg/ha","6953","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1963","1963","hg/ha","7694","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1964","1964","hg/ha","8140","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1965","1965","hg/ha","5538","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1966","1966","hg/ha","6043","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1967","1967","hg/ha","7588","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1968","1968","hg/ha","6533","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1969","1969","hg/ha","7200","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1970","1970","hg/ha","8341","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1971","1971","hg/ha","8229","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1972","1972","hg/ha","5854","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1973","1973","hg/ha","8446","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","242","Groundnuts, with shell","1974","1974","hg/ha","7128","Fc","Calculated data"
