Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1961","1961","ha","36000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1962","1962","ha","47000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1963","1963","ha","47000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1964","1964","ha","48000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1965","1965","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1966","1966","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1967","1967","ha","52000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1968","1968","ha","45000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1969","1969","ha","45000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1970","1970","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1971","1971","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1972","1972","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1973","1973","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1974","1974","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1975","1975","ha","52000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1976","1976","ha","53000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1977","1977","ha","45000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1978","1978","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1979","1979","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1980","1980","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1981","1981","ha","52000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1982","1982","ha","53000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1983","1983","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1984","1984","ha","53000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1985","1985","ha","50000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1986","1986","ha","55000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1987","1987","ha","56000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1988","1988","ha","59000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1989","1989","ha","60000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1990","1990","ha","65000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1991","1991","ha","68000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1992","1992","ha","74000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1993","1993","ha","80000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1994","1994","ha","91400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1995","1995","ha","95900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1996","1996","ha","106000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1997","1997","ha","123700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1998","1998","ha","129800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","1999","1999","ha","139500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2000","2000","ha","169300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2001","2001","ha","164200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2002","2002","ha","161300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2003","2003","ha","146200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2004","2004","ha","167800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2005","2005","ha","78900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2006","2006","ha","268700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2007","2007","ha","294900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2008","2008","ha","302800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2009","2009","ha","316050","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2010","2010","ha","295600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2011","2011","ha","219000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2012","2012","ha","234000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2013","2013","ha","255200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2014","2014","ha","286410","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2015","2015","ha","268000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2016","2016","ha","245000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2017","2017","ha","248000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","497","Lemons and limes","2018","2018","ha","286000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1961","1961","hg/ha","115278","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1962","1962","hg/ha","95745","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1963","1963","hg/ha","95745","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1964","1964","hg/ha","93750","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1965","1965","hg/ha","90000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1966","1966","hg/ha","90000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1967","1967","hg/ha","86538","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1968","1968","hg/ha","82222","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1969","1969","hg/ha","88889","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1970","1970","hg/ha","90000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1971","1971","hg/ha","90000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1972","1972","hg/ha","90000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1973","1973","hg/ha","90000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1974","1974","hg/ha","90000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1975","1975","hg/ha","96154","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1976","1976","hg/ha","113208","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1977","1977","hg/ha","88889","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1978","1978","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1979","1979","hg/ha","96000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1980","1980","hg/ha","97000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1981","1981","hg/ha","96154","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1982","1982","hg/ha","94340","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1983","1983","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1984","1984","hg/ha","103774","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1985","1985","hg/ha","90000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1986","1986","hg/ha","109091","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1987","1987","hg/ha","107143","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1988","1988","hg/ha","101695","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1989","1989","hg/ha","115000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1990","1990","hg/ha","115692","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1991","1991","hg/ha","117647","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","497","Lemons and limes","1992","1992","hg/ha","94595","Fc","Calculated data"
