Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1961","1961","ha","791149","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1962","1962","ha","770915","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1963","1963","ha","767273","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1964","1964","ha","785300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1965","1965","ha","840100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1966","1966","ha","843400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1967","1967","ha","829100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1968","1968","ha","751700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1969","1969","ha","776800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1970","1970","ha","762800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1971","1971","ha","744000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1972","1972","ha","800100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1973","1973","ha","833600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1974","1974","ha","925100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1975","1975","ha","952700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1976","1976","ha","936600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1977","1977","ha","853300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1978","1978","ha","880700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1979","1979","ha","1018100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1980","1980","ha","848800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1981","1981","ha","934900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1982","1982","ha","945200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1983","1983","ha","996400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1984","1984","ha","943100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1985","1985","ha","982500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1986","1986","ha","1090700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1987","1987","ha","1087000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1988","1988","ha","1040300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","201","Lentils","1989","1989","ha","1081100","","Official data"
