Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1961","1961","ha","55000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1962","1962","ha","58000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1963","1963","ha","59000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1964","1964","ha","61000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1965","1965","ha","62000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1966","1966","ha","64000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1967","1967","ha","65000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1968","1968","ha","67000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1969","1969","ha","70000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1970","1970","ha","71000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1971","1971","ha","72000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1972","1972","ha","74000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1973","1973","ha","75000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1974","1974","ha","78000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1975","1975","ha","80000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1976","1976","ha","84000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1977","1977","ha","88000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1978","1978","ha","90000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1979","1979","ha","95000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1980","1980","ha","97000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1981","1981","ha","100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1982","1982","ha","100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1983","1983","ha","102000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1984","1984","ha","103000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1985","1985","ha","105000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1986","1986","ha","105000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1987","1987","ha","106000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1988","1988","ha","107000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1989","1989","ha","109000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1990","1990","ha","111000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1991","1991","ha","111840","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1992","1992","ha","112000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1993","1993","ha","113000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1994","1994","ha","115000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1995","1995","ha","115862","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1996","1996","ha","116000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1997","1997","ha","116985","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1998","1998","ha","117000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","1999","1999","ha","118000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","2000","2000","ha","120000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","2001","2001","ha","121337","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","2002","2002","ha","123834","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","2003","2003","ha","126563","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","2004","2004","ha","129464","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","2005","2005","ha","132998","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","2006","2006","ha","142547","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","2007","2007","ha","146840","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","2008","2008","ha","151361","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","2009","2009","ha","155837","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","2010","2010","ha","160078","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","372","Lettuce and chicory","2011","2011","ha","164054","Im","FAO data based on imputation methodology"
