Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1961","1961","ha","4507000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1962","1962","ha","4643000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1963","1963","ha","4582000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1964","1964","ha","4618000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1965","1965","ha","4799000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1966","1966","ha","5073800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1967","1967","ha","5583400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1968","1968","ha","5715800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1969","1969","ha","5862200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1970","1970","ha","5852300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1971","1971","ha","5667600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1972","1972","ha","5837800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1973","1973","ha","6015400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1974","1974","ha","5863100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1975","1975","ha","6030700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1976","1976","ha","6000300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1977","1977","ha","5682700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1978","1978","ha","5760000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1979","1979","ha","5720600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1980","1980","ha","6004800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1981","1981","ha","5934700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1982","1982","ha","5720300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1983","1983","ha","5859000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1984","1984","ha","5799500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1985","1985","ha","5797200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1986","1986","ha","5923100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1987","1987","ha","5560900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1988","1988","ha","5896700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1989","1989","ha","5915100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1990","1990","ha","5904300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1991","1991","ha","5859400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1992","1992","ha","5962500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1993","1993","ha","5995000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1994","1994","ha","6135800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1995","1995","ha","5979000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1996","1996","ha","6300000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1997","1997","ha","6321000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1998","1998","ha","6203700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","1999","1999","ha","6422100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2000","2000","ha","6611300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2001","2001","ha","6581500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2002","2002","ha","6635200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2003","2003","ha","7343400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2004","2004","ha","7430400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2005","2005","ha","7588300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2006","2006","ha","7894000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2007","2007","ha","8117300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2008","2008","ha","8173800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2009","2009","ha","8261600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2010","2010","ha","8553200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2011","2011","ha","8780000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2012","2012","ha","8710000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","56","Maize","2013","2013","ha","9430000","","Official data"
