Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1961","1961","ha","850000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1962","1962","ha","850000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1963","1963","ha","850000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1964","1964","ha","850000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1965","1965","ha","850000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1966","1966","ha","850000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1967","1967","ha","862000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1968","1968","ha","862000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1969","1969","ha","862000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1970","1970","ha","862000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1971","1971","ha","862000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1972","1972","ha","874100","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1973","1973","ha","874100","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1974","1974","ha","886200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1975","1975","ha","886200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1976","1976","ha","898400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1977","1977","ha","905350","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1978","1978","ha","925480","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1979","1979","ha","942560","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1980","1980","ha","958430","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1981","1981","ha","979640","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1982","1982","ha","1001540","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1983","1983","ha","1022220","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1984","1984","ha","1042660","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1985","1985","ha","795000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1986","1986","ha","805000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1987","1987","ha","834000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1988","1988","ha","852000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1989","1989","ha","860000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1990","1990","ha","846292","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1991","1991","ha","1077621","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1992","1992","ha","1136668","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1993","1993","ha","1220000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1994","1994","ha","1230000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1995","1995","ha","1280000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1996","1996","ha","1300000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1997","1997","ha","1200000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1998","1998","ha","1400000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","1999","1999","ha","1401600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2000","2000","ha","1486900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2001","2001","ha","1519000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2002","2002","ha","1575800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2003","2003","ha","1623400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2004","2004","ha","1906700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2005","2005","ha","1970400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2006","2006","ha","2080700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2007","2007","ha","2154000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2008","2008","ha","2201000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2009","2009","ha","2309000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2010","2010","ha","2312300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2011","2011","ha","2297000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2012","2012","ha","2378000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2013","2013","ha","2500000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2014","2014","ha","2515970","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2015","2015","ha","2163000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2016","2016","ha","2209000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2017","2017","ha","2472000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","571","Mangoes, mangosteens, guavas","2018","2018","ha","2527000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","571","Mangoes, mangosteens, guavas","1961","1961","hg/ha","82212","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","571","Mangoes, mangosteens, guavas","1962","1962","hg/ha","82212","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","571","Mangoes, mangosteens, guavas","1963","1963","hg/ha","82353","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","571","Mangoes, mangosteens, guavas","1964","1964","hg/ha","82353","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","571","Mangoes, mangosteens, guavas","1965","1965","hg/ha","82353","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","571","Mangoes, mangosteens, guavas","1966","1966","hg/ha","82353","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","571","Mangoes, mangosteens, guavas","1967","1967","hg/ha","82367","Fc","Calculated data"
