Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1961","1961","ha","9500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1962","1962","ha","9800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1963","1963","ha","10000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1964","1964","ha","10500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1965","1965","ha","10900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1966","1966","ha","11500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1967","1967","ha","12000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1968","1968","ha","12500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1969","1969","ha","12600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1970","1970","ha","13000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1971","1971","ha","14000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1972","1972","ha","15000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1973","1973","ha","15500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1974","1974","ha","16000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1975","1975","ha","17000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1976","1976","ha","17000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1977","1977","ha","18000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1978","1978","ha","18500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1979","1979","ha","20000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1980","1980","ha","21500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1981","1981","ha","22000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1982","1982","ha","23500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1983","1983","ha","25000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1984","1984","ha","26500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1985","1985","ha","28000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1986","1986","ha","28000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1987","1987","ha","29000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1988","1988","ha","29500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1989","1989","ha","30000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1990","1990","ha","30500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1991","1991","ha","29000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1992","1992","ha","31000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1993","1993","ha","31184","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1994","1994","ha","30594","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1995","1995","ha","30734","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1996","1996","ha","31300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1997","1997","ha","31080","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1998","1998","ha","30961","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","1999","1999","ha","31003","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2000","2000","ha","31500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2001","2001","ha","31261","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2002","2002","ha","31557","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2003","2003","ha","31771","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2004","2004","ha","35533","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2005","2005","ha","36925","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2006","2006","ha","38025","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2007","2007","ha","39160","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2008","2008","ha","40286","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2009","2009","ha","41391","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2010","2010","ha","42469","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2011","2011","ha","39500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2012","2012","ha","38000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2013","2013","ha","42000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2014","2014","ha","37000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2015","2015","ha","42000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2016","2016","ha","45000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2017","2017","ha","50000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","568","Melons, other (inc.cantaloupes)","2018","2018","ha","54000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","568","Melons, other (inc.cantaloupes)","1961","1961","hg/ha","136842","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","568","Melons, other (inc.cantaloupes)","1962","1962","hg/ha","137755","Fc","Calculated data"
