Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1961","1961","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1962","1962","ha","56000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1963","1963","ha","57000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1964","1964","ha","55000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1965","1965","ha","57000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1966","1966","ha","75000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1967","1967","ha","73000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1968","1968","ha","75000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1969","1969","ha","74000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1970","1970","ha","75000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1971","1971","ha","76800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1972","1972","ha","75900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1973","1973","ha","75900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1974","1974","ha","89200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1975","1975","ha","99900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1976","1976","ha","96900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1977","1977","ha","95600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1978","1978","ha","81900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1979","1979","ha","89000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1980","1980","ha","87700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1981","1981","ha","100600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1982","1982","ha","103300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1983","1983","ha","112600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1984","1984","ha","114400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1985","1985","ha","117740","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1986","1986","ha","116270","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1987","1987","ha","118790","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1988","1988","ha","118340","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1989","1989","ha","121210","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1990","1990","ha","118160","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1991","1991","ha","117720","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1992","1992","ha","96680","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1993","1993","ha","101110","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1994","1994","ha","100400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1995","1995","ha","101500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1996","1996","ha","99000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1997","1997","ha","94300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1998","1998","ha","85000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","1999","1999","ha","84800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2000","2000","ha","92400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2001","2001","ha","91600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2002","2002","ha","88500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2003","2003","ha","95600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2004","2004","ha","95200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2005","2005","ha","95800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2006","2006","ha","104000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2007","2007","ha","81930","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2008","2008","ha","91990","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2009","2009","ha","90200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2010","2010","ha","86700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2011","2011","ha","89006","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2012","2012","ha","92000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2013","2013","ha","95930","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2014","2014","ha","93000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2015","2015","ha","92000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2016","2016","ha","107000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2017","2017","ha","108000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","702","Nutmeg, mace and cardamoms","2018","2018","ha","108000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1961","1961","hg/ha","600","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1962","1962","hg/ha","714","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1963","1963","hg/ha","702","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1964","1964","hg/ha","727","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1965","1965","hg/ha","702","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1966","1966","hg/ha","533","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1967","1967","hg/ha","411","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1968","1968","hg/ha","400","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1969","1969","hg/ha","405","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1970","1970","hg/ha","400","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1971","1971","hg/ha","469","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1972","1972","hg/ha","382","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1973","1973","hg/ha","422","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1974","1974","hg/ha","538","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1975","1975","hg/ha","521","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1976","1976","hg/ha","454","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1977","1977","hg/ha","471","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1978","1978","hg/ha","623","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1979","1979","hg/ha","596","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1980","1980","hg/ha","627","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1981","1981","hg/ha","934","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1982","1982","hg/ha","779","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1983","1983","hg/ha","790","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1984","1984","hg/ha","813","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1985","1985","hg/ha","851","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1986","1986","hg/ha","835","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1987","1987","hg/ha","780","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1988","1988","hg/ha","723","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1989","1989","hg/ha","835","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1990","1990","hg/ha","809","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1991","1991","hg/ha","809","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1992","1992","hg/ha","953","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1993","1993","hg/ha","1075","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1994","1994","hg/ha","1066","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1995","1995","hg/ha","1153","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1996","1996","hg/ha","1273","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1997","1997","hg/ha","1241","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1998","1998","hg/ha","1059","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","1999","1999","hg/ha","1262","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","2000","2000","hg/ha","1569","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","2001","2001","hg/ha","1659","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","702","Nutmeg, mace and cardamoms","2002","2002","hg/ha","1740","Fc","Calculated data"
