Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1961","1961","ha","150000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1962","1962","ha","158000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1963","1963","ha","165000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1964","1964","ha","170000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1965","1965","ha","180000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1966","1966","ha","185000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1967","1967","ha","190000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1968","1968","ha","198000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1969","1969","ha","210000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1970","1970","ha","218000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1971","1971","ha","225000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1972","1972","ha","234000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1973","1973","ha","244000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1974","1974","ha","250000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1975","1975","ha","260000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1976","1976","ha","265000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1977","1977","ha","275000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1978","1978","ha","280000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1979","1979","ha","290000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1980","1980","ha","295000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1981","1981","ha","300000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1982","1982","ha","305000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1983","1983","ha","315000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1984","1984","ha","320000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1985","1985","ha","330000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1986","1986","ha","340000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1987","1987","ha","346000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1988","1988","ha","353000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1989","1989","ha","360000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1990","1990","ha","365000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1991","1991","ha","370000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1992","1992","ha","375000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1993","1993","ha","376000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1994","1994","ha","300000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1995","1995","ha","420000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1996","1996","ha","380000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1997","1997","ha","370000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1998","1998","ha","320000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","1999","1999","ha","330000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2000","2000","ha","350000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2001","2001","ha","350000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2002","2002","ha","350000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2003","2003","ha","370000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2004","2004","ha","353100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2005","2005","ha","357300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2006","2006","ha","391800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2007","2007","ha","396000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2008","2008","ha","407000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2009","2009","ha","432000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2010","2010","ha","452000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2011","2011","ha","498000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2012","2012","ha","518000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2013","2013","ha","530790","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2014","2014","ha","532660","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2015","2015","ha","504000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2016","2016","ha","511000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2017","2017","ha","507000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","430","Okra","2018","2018","ha","509000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1961","1961","hg/ha","51667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1962","1962","hg/ha","50000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1963","1963","hg/ha","50000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1964","1964","hg/ha","49706","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1965","1965","hg/ha","50000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1966","1966","hg/ha","50811","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1967","1967","hg/ha","51053","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1968","1968","hg/ha","50505","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1969","1969","hg/ha","50000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1970","1970","hg/ha","52752","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1971","1971","hg/ha","52889","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1972","1972","hg/ha","52991","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1973","1973","hg/ha","54918","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1974","1974","hg/ha","55000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1975","1975","hg/ha","55000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1976","1976","hg/ha","55849","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1977","1977","hg/ha","55636","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1978","1978","hg/ha","55357","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1979","1979","hg/ha","56034","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1980","1980","hg/ha","57627","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1981","1981","hg/ha","58000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1982","1982","hg/ha","58033","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1983","1983","hg/ha","58730","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1984","1984","hg/ha","59375","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1985","1985","hg/ha","59091","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1986","1986","hg/ha","60294","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1987","1987","hg/ha","60983","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1988","1988","hg/ha","62040","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1989","1989","hg/ha","62500","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1990","1990","hg/ha","62466","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1991","1991","hg/ha","62892","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1992","1992","hg/ha","64000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1993","1993","hg/ha","63963","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1994","1994","hg/ha","101000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1995","1995","hg/ha","92857","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1996","1996","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1997","1997","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1998","1998","hg/ha","100313","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","1999","1999","hg/ha","102424","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2000","2000","hg/ha","97714","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2001","2001","hg/ha","95429","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2002","2002","hg/ha","94857","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2003","2003","hg/ha","95405","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2004","2004","hg/ha","102843","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2005","2005","hg/ha","98304","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2006","2006","hg/ha","101445","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2007","2007","hg/ha","102778","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2008","2008","hg/ha","102678","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2009","2009","hg/ha","104815","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2010","2010","hg/ha","106261","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2011","2011","hg/ha","116145","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2012","2012","hg/ha","120830","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2013","2013","hg/ha","119633","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2014","2014","hg/ha","119145","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2015","2015","hg/ha","113274","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2016","2016","hg/ha","114462","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2017","2017","hg/ha","118402","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","430","Okra","2018","2018","hg/ha","119745","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1961","1961","tonnes","775000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1962","1962","tonnes","790000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1963","1963","tonnes","825000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1964","1964","tonnes","845000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1965","1965","tonnes","900000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1966","1966","tonnes","940000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1967","1967","tonnes","970000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1968","1968","tonnes","1000000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1969","1969","tonnes","1050000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1970","1970","tonnes","1150000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1971","1971","tonnes","1190000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1972","1972","tonnes","1240000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1973","1973","tonnes","1340000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1974","1974","tonnes","1375000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1975","1975","tonnes","1430000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1976","1976","tonnes","1480000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1977","1977","tonnes","1530000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1978","1978","tonnes","1550000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1979","1979","tonnes","1625000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1980","1980","tonnes","1700000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1981","1981","tonnes","1740000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1982","1982","tonnes","1770000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","430","Okra","1983","1983","tonnes","1850000","F","FAO estimate"
