Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1961","1961","ha","120000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1962","1962","ha","120000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1963","1963","ha","120000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1964","1964","ha","120000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1965","1965","ha","125000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1966","1966","ha","125000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1967","1967","ha","150000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1968","1968","ha","150000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1969","1969","ha","160000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1970","1970","ha","165000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1971","1971","ha","177000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1972","1972","ha","177000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1973","1973","ha","182000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1974","1974","ha","183400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1975","1975","ha","194000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1976","1976","ha","164100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1977","1977","ha","187900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1978","1978","ha","213800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1979","1979","ha","244300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1980","1980","ha","251400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1981","1981","ha","250700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1982","1982","ha","234900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1983","1983","ha","270400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1984","1984","ha","278200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1985","1985","ha","280600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1986","1986","ha","262200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1987","1987","ha","274000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1988","1988","ha","315200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1989","1989","ha","301200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1990","1990","ha","301900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1991","1991","ha","323300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1992","1992","ha","323500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1993","1993","ha","367500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1994","1994","ha","378600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1995","1995","ha","384600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1996","1996","ha","404000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1997","1997","ha","355000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1998","1998","ha","468100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","403","Onions, dry","1999","1999","ha","493300","","Official data"
