Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1961","1961","ha","54000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1962","1962","ha","54000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1963","1963","ha","55000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1964","1964","ha","56000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1965","1965","ha","59000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1966","1966","ha","70000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1967","1967","ha","75000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1968","1968","ha","95000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1969","1969","ha","88000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1970","1970","ha","93000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1971","1971","ha","98000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1972","1972","ha","100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1973","1973","ha","100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1974","1974","ha","102000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1975","1975","ha","98000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1976","1976","ha","102000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1977","1977","ha","95000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1978","1978","ha","92000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1979","1979","ha","91000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1980","1980","ha","95000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1981","1981","ha","103000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1982","1982","ha","107000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1983","1983","ha","125000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1984","1984","ha","115000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1985","1985","ha","115000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1986","1986","ha","105000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1987","1987","ha","112000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1988","1988","ha","120000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1989","1989","ha","131000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1990","1990","ha","138000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1991","1991","ha","130000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1992","1992","ha","112000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1993","1993","ha","127000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1994","1994","ha","190600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1995","1995","ha","208400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1996","1996","ha","216800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1997","1997","ha","229000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1998","1998","ha","232800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","1999","1999","ha","227300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2000","2000","ha","274100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2001","2001","ha","249500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2002","2002","ha","325300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2003","2003","ha","288900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2004","2004","ha","377900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2005","2005","ha","378000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2006","2006","ha","441100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2007","2007","ha","467200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2008","2008","ha","518300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2009","2009","ha","563330","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2010","2010","ha","631300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2011","2011","ha","481000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2012","2012","ha","490800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2013","2013","ha","634400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2014","2014","ha","664910","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2015","2015","ha","686000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2016","2016","ha","641000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2017","2017","ha","601000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","490","Oranges","2018","2018","ha","613000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1961","1961","hg/ha","139259","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1962","1962","hg/ha","124074","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1963","1963","hg/ha","121818","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1964","1964","hg/ha","123393","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1965","1965","hg/ha","132203","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1966","1966","hg/ha","128571","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1967","1967","hg/ha","133333","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1968","1968","hg/ha","127684","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1969","1969","hg/ha","125000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1970","1970","hg/ha","129032","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1971","1971","hg/ha","127551","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1972","1972","hg/ha","130000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1973","1973","hg/ha","120000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1974","1974","hg/ha","127451","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1975","1975","hg/ha","117347","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1976","1976","hg/ha","137255","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1977","1977","hg/ha","119789","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1978","1978","hg/ha","116304","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1979","1979","hg/ha","124176","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1980","1980","hg/ha","123263","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1981","1981","hg/ha","117379","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","490","Oranges","1982","1982","hg/ha","117570","Fc","Calculated data"
