Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1961","1961","ha","6000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1962","1962","ha","7000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1963","1963","ha","7000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1964","1964","ha","6000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1965","1965","ha","6000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1966","1966","ha","8000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1967","1967","ha","8000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1968","1968","ha","9000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1969","1969","ha","9000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1970","1970","ha","10384","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1971","1971","ha","11012","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1972","1972","ha","9953","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1973","1973","ha","9822","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1974","1974","ha","10326","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1975","1975","ha","10864","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1976","1976","ha","12180","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1977","1977","ha","23258","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1978","1978","ha","25628","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1979","1979","ha","25685","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1980","1980","ha","25684","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1981","1981","ha","26870","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1982","1982","ha","27060","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1983","1983","ha","26960","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1984","1984","ha","32000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1985","1985","ha","31000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1986","1986","ha","32959","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1987","1987","ha","32993","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1988","1988","ha","35474","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1989","1989","ha","35554","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1990","1990","ha","36518","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1991","1991","ha","45200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1992","1992","ha","47412","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1993","1993","ha","55945","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1994","1994","ha","61450","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1995","1995","ha","61420","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1996","1996","ha","63780","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1997","1997","ha","69419","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1998","1998","ha","67767","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","1999","1999","ha","60825","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2000","2000","ha","70422","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2001","2001","ha","73700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2002","2002","ha","68000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2003","2003","ha","58200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2004","2004","ha","73800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2005","2005","ha","67800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2006","2006","ha","72500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2007","2007","ha","83000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2008","2008","ha","98000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2009","2009","ha","95700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2010","2010","ha","106000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2011","2011","ha","117400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2012","2012","ha","132000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2013","2013","ha","135000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2014","2014","ha","133360","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2015","2015","ha","115000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2016","2016","ha","132000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2017","2017","ha","134000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","600","Papayas","2018","2018","ha","138000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1961","1961","hg/ha","380000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1962","1962","hg/ha","331429","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1963","1963","hg/ha","337143","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1964","1964","hg/ha","251667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1965","1965","hg/ha","298333","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1966","1966","hg/ha","257500","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1967","1967","hg/ha","261250","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1968","1968","hg/ha","227778","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1969","1969","hg/ha","246667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1970","1970","hg/ha","197111","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1971","1971","hg/ha","224125","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1972","1972","hg/ha","189759","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1973","1973","hg/ha","222274","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1974","1974","hg/ha","219069","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1975","1975","hg/ha","207014","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1976","1976","hg/ha","190945","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1977","1977","hg/ha","193671","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1978","1978","hg/ha","159400","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1979","1979","hg/ha","163131","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1980","1980","hg/ha","160982","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1981","1981","hg/ha","92344","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1982","1982","hg/ha","132467","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1983","1983","hg/ha","120751","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1984","1984","hg/ha","79375","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1985","1985","hg/ha","77419","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1986","1986","hg/ha","84580","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1987","1987","hg/ha","83759","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1988","1988","hg/ha","108949","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1989","1989","hg/ha","99652","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1990","1990","hg/ha","123637","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1991","1991","hg/ha","178164","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1992","1992","hg/ha","169497","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1993","1993","hg/ha","226422","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1994","1994","hg/ha","223509","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1995","1995","hg/ha","216488","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1996","1996","hg/ha","203721","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1997","1997","hg/ha","233148","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1998","1998","hg/ha","233487","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","1999","1999","hg/ha","273978","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2000","2000","hg/ha","255170","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2001","2001","hg/ha","351479","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2002","2002","hg/ha","315765","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2003","2003","hg/ha","290739","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2004","2004","hg/ha","343509","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2005","2005","hg/ha","315531","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2006","2006","hg/ha","342359","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2007","2007","hg/ha","350482","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2008","2008","hg/ha","370306","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2009","2009","hg/ha","408934","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2010","2010","hg/ha","395849","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2011","2011","hg/ha","379651","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2012","2012","hg/ha","407727","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2013","2013","hg/ha","410667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2014","2014","hg/ha","422863","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2015","2015","hg/ha","427217","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2016","2016","hg/ha","429318","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2017","2017","hg/ha","443284","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","600","Papayas","2018","2018","hg/ha","433986","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1961","1961","tonnes","228000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1962","1962","tonnes","232000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1963","1963","tonnes","236000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1964","1964","tonnes","151000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1965","1965","tonnes","179000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1966","1966","tonnes","206000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1967","1967","tonnes","209000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1968","1968","tonnes","205000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1969","1969","tonnes","222000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1970","1970","tonnes","204680","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1971","1971","tonnes","246806","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1972","1972","tonnes","188867","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1973","1973","tonnes","218318","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1974","1974","tonnes","226211","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1975","1975","tonnes","224900","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1976","1976","tonnes","232571","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1977","1977","tonnes","450441","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1978","1978","tonnes","408510","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1979","1979","tonnes","419002","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1980","1980","tonnes","413467","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1981","1981","tonnes","248129","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1982","1982","tonnes","358457","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1983","1983","tonnes","325544","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1984","1984","tonnes","254000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1985","1985","tonnes","240000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1986","1986","tonnes","278767","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1987","1987","tonnes","276346","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1988","1988","tonnes","386486","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1989","1989","tonnes","354304","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1990","1990","tonnes","451497","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1991","1991","tonnes","805300","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1992","1992","tonnes","803617","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1993","1993","tonnes","1266720","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1994","1994","tonnes","1373460","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1995","1995","tonnes","1329670","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1996","1996","tonnes","1299330","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1997","1997","tonnes","1618490","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1998","1998","tonnes","1582270","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","1999","1999","tonnes","1666470","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2000","2000","tonnes","1796960","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2001","2001","tonnes","2590400","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2002","2002","tonnes","2147200","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2003","2003","tonnes","1692100","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2004","2004","tonnes","2535100","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2005","2005","tonnes","2139300","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2006","2006","tonnes","2482100","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2007","2007","tonnes","2909000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2008","2008","tonnes","3629000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2009","2009","tonnes","3913500","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2010","2010","tonnes","4196000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2011","2011","tonnes","4457100","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2012","2012","tonnes","5382000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2013","2013","tonnes","5544000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2014","2014","tonnes","5639300","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2015","2015","tonnes","4913000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2016","2016","tonnes","5667000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2017","2017","tonnes","5940000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","600","Papayas","2018","2018","tonnes","5989000","","Official data"
