Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1961","1961","ha","10000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1962","1962","ha","9000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1963","1963","ha","10800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1964","1964","ha","10000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1965","1965","ha","11000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1966","1966","ha","10500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1967","1967","ha","11000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1968","1968","ha","12000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1969","1969","ha","11500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1970","1970","ha","11000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1971","1971","ha","10000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1972","1972","ha","10000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1973","1973","ha","12000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1974","1974","ha","10000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1975","1975","ha","11000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1976","1976","ha","12500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1977","1977","ha","13000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1978","1978","ha","12000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1979","1979","ha","13500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1980","1980","ha","14700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1981","1981","ha","14000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1982","1982","ha","15500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1983","1983","ha","15800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1984","1984","ha","13500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1985","1985","ha","15500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1986","1986","ha","18000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1987","1987","ha","11658","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1988","1988","ha","14874","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1989","1989","ha","15122","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1990","1990","ha","15500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1991","1991","ha","16000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1992","1992","ha","17000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1993","1993","ha","17500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1994","1994","ha","18000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1995","1995","ha","18300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1996","1996","ha","18500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1997","1997","ha","19185","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1998","1998","ha","18899","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","1999","1999","ha","20838","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2000","2000","ha","21455","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2001","2001","ha","26264","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2002","2002","ha","28372","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2003","2003","ha","31544","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2004","2004","ha","33679","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2005","2005","ha","33539","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2006","2006","ha","34635","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2007","2007","ha","36314","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2008","2008","ha","36647","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2009","2009","ha","36840","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2010","2010","ha","37000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2011","2011","ha","36905","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2012","2012","ha","37500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2013","2013","ha","37500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2014","2014","ha","37800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2015","2015","ha","37702","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2016","2016","ha","37841","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2017","2017","ha","37781","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","534","Peaches and nectarines","2018","2018","ha","37775","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1961","1961","hg/ha","43000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1962","1962","hg/ha","43333","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1963","1963","hg/ha","45370","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1964","1964","hg/ha","45000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1965","1965","hg/ha","43636","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1966","1966","hg/ha","42857","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1967","1967","hg/ha","44545","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1968","1968","hg/ha","41667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1969","1969","hg/ha","42609","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1970","1970","hg/ha","44091","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1971","1971","hg/ha","44000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1972","1972","hg/ha","45000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1973","1973","hg/ha","44167","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1974","1974","hg/ha","47000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1975","1975","hg/ha","43636","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","534","Peaches and nectarines","1976","1976","hg/ha","50400","Fc","Calculated data"
