Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1961","1961","ha","6100","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1962","1962","ha","6200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1963","1963","ha","6700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1964","1964","ha","7700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1965","1965","ha","7500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1966","1966","ha","7800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1967","1967","ha","8000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1968","1968","ha","8100","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1969","1969","ha","8300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1970","1970","ha","8600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1971","1971","ha","9000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1972","1972","ha","8700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1973","1973","ha","9000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1974","1974","ha","9000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1975","1975","ha","9300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1976","1976","ha","9700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1977","1977","ha","10000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1978","1978","ha","10300","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1979","1979","ha","10300","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1980","1980","ha","10600","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1981","1981","ha","11000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1982","1982","ha","11000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1983","1983","ha","11700","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1984","1984","ha","13000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1985","1985","ha","14000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1986","1986","ha","13700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1987","1987","ha","21471","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1988","1988","ha","22326","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1989","1989","ha","22750","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1990","1990","ha","29638","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1991","1991","ha","19000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1992","1992","ha","20000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1993","1993","ha","22000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1994","1994","ha","21693","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1995","1995","ha","21751","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1996","1996","ha","22500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1997","1997","ha","22375","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1998","1998","ha","22432","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","1999","1999","ha","23000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2000","2000","ha","25346","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2001","2001","ha","26530","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2002","2002","ha","28229","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2003","2003","ha","29685","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2004","2004","ha","32452","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2005","2005","ha","35088","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2006","2006","ha","37074","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2007","2007","ha","40041","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2008","2008","ha","41489","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2009","2009","ha","42638","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2010","2010","ha","44713","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2011","2011","ha","44598","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2012","2012","ha","45285","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2013","2013","ha","43296","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2014","2014","ha","42280","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2015","2015","ha","42000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2016","2016","ha","40000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2017","2017","ha","44000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","521","Pears","2018","2018","ha","44000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","521","Pears","1961","1961","hg/ha","54098","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","521","Pears","1962","1962","hg/ha","59677","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","521","Pears","1963","1963","hg/ha","59701","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","521","Pears","1964","1964","hg/ha","59740","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","521","Pears","1965","1965","hg/ha","60000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","521","Pears","1966","1966","hg/ha","60256","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","521","Pears","1967","1967","hg/ha","60000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","521","Pears","1968","1968","hg/ha","60494","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","521","Pears","1969","1969","hg/ha","60241","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","521","Pears","1970","1970","hg/ha","60465","Fc","Calculated data"
