Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1961","1961","ha","60000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1962","1962","ha","62000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1963","1963","ha","64000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1964","1964","ha","65000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1965","1965","ha","67000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1966","1966","ha","69000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1967","1967","ha","70000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1968","1968","ha","73000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1969","1969","ha","75000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1970","1970","ha","77000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1971","1971","ha","80000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1972","1972","ha","83000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1973","1973","ha","86000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1974","1974","ha","90000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1975","1975","ha","93000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1976","1976","ha","95000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1977","1977","ha","97000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1978","1978","ha","100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1979","1979","ha","102000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1980","1980","ha","107000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1981","1981","ha","110000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1982","1982","ha","111000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1983","1983","ha","115000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1984","1984","ha","117000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1985","1985","ha","120000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1986","1986","ha","125000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1987","1987","ha","130000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1988","1988","ha","135000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1989","1989","ha","140000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1990","1990","ha","145000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1991","1991","ha","147000","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1992","1992","ha","146388","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1993","1993","ha","148000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1994","1994","ha","180000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1995","1995","ha","220000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1996","1996","ha","200000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1997","1997","ha","220000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1998","1998","ha","270000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","1999","1999","ha","280000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2000","2000","ha","270000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2001","2001","ha","320000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2002","2002","ha","300000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2003","2003","ha","305200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2004","2004","ha","285200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2005","2005","ha","276300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2006","2006","ha","286100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2007","2007","ha","297000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2008","2008","ha","313000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2009","2009","ha","348000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2010","2010","ha","364900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2011","2011","ha","370000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2012","2012","ha","408200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2013","2013","ha","420900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2014","2014","ha","433560","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2015","2015","ha","476000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2016","2016","ha","498000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2017","2017","ha","530000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","417","Peas, green","2018","2018","ha","540000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","417","Peas, green","1961","1961","hg/ha","91667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","417","Peas, green","1962","1962","hg/ha","88710","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","417","Peas, green","1963","1963","hg/ha","89063","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","417","Peas, green","1964","1964","hg/ha","92308","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","417","Peas, green","1965","1965","hg/ha","93284","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","417","Peas, green","1966","1966","hg/ha","94928","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","417","Peas, green","1967","1967","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","417","Peas, green","1968","1968","hg/ha","100000","Fc","Calculated data"
