Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1961","1961","ha","103000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1962","1962","ha","102000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1963","1963","ha","102000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1964","1964","ha","103000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1965","1965","ha","102000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1966","1966","ha","121000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1967","1967","ha","128000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1968","1968","ha","121200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1969","1969","ha","120300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1970","1970","ha","119960","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1971","1971","ha","118630","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1972","1972","ha","119800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1973","1973","ha","121720","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1974","1974","ha","121920","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1975","1975","ha","111930","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1976","1976","ha","114340","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1977","1977","ha","111970","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1978","1978","ha","84570","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1979","1979","ha","110720","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1980","1980","ha","109290","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1981","1981","ha","111020","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1982","1982","ha","111000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1983","1983","ha","110440","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1984","1984","ha","107350","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1985","1985","ha","109400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1986","1986","ha","125100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1987","1987","ha","132810","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1988","1988","ha","149930","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1989","1989","ha","160740","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1990","1990","ha","171490","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1991","1991","ha","173430","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1992","1992","ha","184200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1993","1993","ha","189370","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1994","1994","ha","191000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1995","1995","ha","193300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","687","Pepper (piper spp.)","1996","1996","ha","198100","","Official data"
