Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1961","1961","ha","6970","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1962","1962","ha","9200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1963","1963","ha","13800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1964","1964","ha","18300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1965","1965","ha","25700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1966","1966","ha","31300","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1967","1967","ha","33100","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1968","1968","ha","33100","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1969","1969","ha","34000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1970","1970","ha","34900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1971","1971","ha","34900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1972","1972","ha","35900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1973","1973","ha","36800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1974","1974","ha","37700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1975","1975","ha","38600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1976","1976","ha","39500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1977","1977","ha","40720","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1978","1978","ha","41860","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1979","1979","ha","43950","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1980","1980","ha","45600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1981","1981","ha","48140","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1982","1982","ha","83490","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1983","1983","ha","87200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1984","1984","ha","55080","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1985","1985","ha","56180","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1986","1986","ha","47000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1987","1987","ha","45661","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1988","1988","ha","51549","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1989","1989","ha","54141","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1990","1990","ha","54587","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1991","1991","ha","63647","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1992","1992","ha","57059","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1993","1993","ha","59436","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1994","1994","ha","70000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1995","1995","ha","80000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1996","1996","ha","82000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1997","1997","ha","86215","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1998","1998","ha","70000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","1999","1999","ha","74200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2000","2000","ha","70000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2001","2001","ha","80000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2002","2002","ha","80000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2003","2003","ha","90000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2004","2004","ha","80900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2005","2005","ha","82800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2006","2006","ha","82400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2007","2007","ha","87000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2008","2008","ha","80000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2009","2009","ha","84000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2010","2010","ha","91900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2011","2011","ha","89000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2012","2012","ha","102000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2013","2013","ha","105000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2014","2014","ha","109880","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2015","2015","ha","116000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2016","2016","ha","110000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2017","2017","ha","111000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","574","Pineapples","2018","2018","ha","103000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1961","1961","hg/ha","109039","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1962","1962","hg/ha","108696","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1963","1963","hg/ha","108696","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1964","1964","hg/ha","109290","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1965","1965","hg/ha","108949","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1966","1966","hg/ha","108626","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1967","1967","hg/ha","108761","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1968","1968","hg/ha","108761","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1969","1969","hg/ha","108824","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1970","1970","hg/ha","108883","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1971","1971","hg/ha","108883","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1972","1972","hg/ha","108635","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1973","1973","hg/ha","108696","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1974","1974","hg/ha","108753","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1975","1975","hg/ha","108808","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1976","1976","hg/ha","108861","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1977","1977","hg/ha","108767","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1978","1978","hg/ha","112425","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1979","1979","hg/ha","113834","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1980","1980","hg/ha","120390","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1981","1981","hg/ha","123230","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1982","1982","hg/ha","77027","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1983","1983","hg/ha","77044","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1984","1984","hg/ha","137249","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1985","1985","hg/ha","137248","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1986","1986","hg/ha","129149","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1987","1987","hg/ha","126593","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","574","Pineapples","1988","1988","hg/ha","158177","Fc","Calculated data"
