Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1961","1961","ha","125000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1962","1962","ha","133000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1963","1963","ha","140000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1964","1964","ha","147000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1965","1965","ha","150000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1966","1966","ha","160000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1967","1967","ha","170000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1968","1968","ha","175000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1969","1969","ha","180000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1970","1970","ha","183000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1971","1971","ha","190000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1972","1972","ha","200000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1973","1973","ha","205000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1974","1974","ha","210000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1975","1975","ha","215000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1976","1976","ha","220000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1977","1977","ha","225000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1978","1978","ha","232000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1979","1979","ha","239000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1980","1980","ha","245000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1981","1981","ha","250000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1982","1982","ha","260000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","394","Pumpkins, squash and gourds","1983","1983","ha","265000","F","FAO estimate"
