Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1961","1961","ha","440000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1962","1962","ha","445000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1963","1963","ha","450000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1964","1964","ha","455000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1965","1965","ha","460000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1966","1966","ha","462000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1967","1967","ha","478000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1968","1968","ha","512500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1969","1969","ha","577700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1970","1970","ha","580200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1971","1971","ha","587900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1972","1972","ha","597700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1973","1973","ha","423300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1974","1974","ha","613800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1975","1975","ha","647800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1976","1976","ha","673600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1977","1977","ha","683000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1978","1978","ha","706500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1979","1979","ha","703000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1980","1980","ha","733300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1981","1981","ha","719900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1982","1982","ha","748500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1983","1983","ha","782100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1984","1984","ha","831300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1985","1985","ha","918100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1986","1986","ha","911300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1987","1987","ha","892200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1988","1988","ha","1051900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1989","1989","ha","815500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1990","1990","ha","842300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1991","1991","ha","823200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1992","1992","ha","501100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1993","1993","ha","734100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1994","1994","ha","793000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1995","1995","ha","791000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1996","1996","ha","684000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1997","1997","ha","704000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1998","1998","ha","200000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","1999","1999","ha","440200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2000","2000","ha","438500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2001","2001","ha","424800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2002","2002","ha","404300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2003","2003","ha","369500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2004","2004","ha","363900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2005","2005","ha","369100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2006","2006","ha","364600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2007","2007","ha","350000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2008","2008","ha","350500","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2009","2009","ha","294600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2010","2010","ha","287800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2011","2011","ha","229060","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2012","2012","ha","178000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2013","2013","ha","150000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2014","2014","ha","177730","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2015","2015","ha","175000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2016","2016","ha","144000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2017","2017","ha","144270","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","280","Safflower seed","2018","2018","ha","82150","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","280","Safflower seed","1961","1961","hg/ha","1500","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","280","Safflower seed","1962","1962","hg/ha","1506","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","280","Safflower seed","1963","1963","hg/ha","1511","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","280","Safflower seed","1964","1964","hg/ha","1363","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","280","Safflower seed","1965","1965","hg/ha","1554","Fc","Calculated data"
