Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1961","1961","ha","2252000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1962","1962","ha","2552000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1963","1963","ha","2412000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1964","1964","ha","2486000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1965","1965","ha","2509000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1966","1966","ha","2793400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1967","1967","ha","2654300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1968","1968","ha","2422800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1969","1969","ha","2308700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1970","1970","ha","2433200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1971","1971","ha","2391500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1972","1972","ha","2288400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1973","1973","ha","2385800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1974","1974","ha","2234300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1975","1975","ha","2170100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1976","1976","ha","2278800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1977","1977","ha","2384300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1978","1978","ha","2389100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1979","1979","ha","2377200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1980","1980","ha","2471900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1981","1981","ha","2593200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1982","1982","ha","2216700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1983","1983","ha","2203600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1984","1984","ha","2117400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1985","1985","ha","2217400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1986","1986","ha","2163800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1987","1987","ha","2153300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1988","1988","ha","2447900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1989","1989","ha","2386500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1990","1990","ha","2515500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1991","1991","ha","2626800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1992","1992","ha","2129000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1993","1993","ha","2217000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1994","1994","ha","1971000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1995","1995","ha","1826000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1996","1996","ha","1992000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1997","1997","ha","1660000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1998","1998","ha","1609000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","1999","1999","ha","1560200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","2000","2000","ha","1720000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","2001","2001","ha","1670600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","2002","2002","ha","1444400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","2003","2003","ha","1700300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","2004","2004","ha","1844000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","2005","2005","ha","1723200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","2006","2006","ha","1647000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","2007","2007","ha","1799000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","2008","2008","ha","1809100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","2009","2009","ha","1942100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","2010","2010","ha","2079280","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","289","Sesame seed","2011","2011","ha","1902000","","Official data"
