Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1961","1961","ha","11000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1962","1962","ha","11000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1963","1963","ha","18000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1964","1964","ha","18000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1965","1965","ha","23000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1966","1966","ha","23000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1967","1967","ha","27000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1968","1968","ha","27000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1969","1969","ha","32000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1970","1970","ha","32000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1971","1971","ha","32000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1972","1972","ha","34000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1973","1973","ha","48000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1974","1974","ha","67000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1975","1975","ha","93000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1976","1976","ha","125000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1977","1977","ha","195000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1978","1978","ha","306000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1979","1979","ha","496000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1980","1980","ha","608000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1981","1981","ha","475000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1982","1982","ha","770000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1983","1983","ha","836000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1984","1984","ha","1242700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1985","1985","ha","1339700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1986","1986","ha","1526800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1987","1987","ha","1542600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1988","1988","ha","1734100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1989","1989","ha","2253000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1990","1990","ha","2564200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1991","1991","ha","3184800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1992","1992","ha","3789000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1993","1993","ha","4370500","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1994","1994","ha","4318000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1995","1995","ha","5035000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1996","1996","ha","5233000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","236","Soybeans","1997","1997","ha","5990200","","Official data"
