Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1961","1961","ha","2413000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1962","1962","ha","2456000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1963","1963","ha","2242000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1964","1964","ha","2249000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1965","1965","ha","2602900","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1966","1966","ha","2836000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1967","1967","ha","2301000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1968","1968","ha","2047000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1969","1969","ha","2532200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1970","1970","ha","2748000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1971","1971","ha","2615000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1972","1972","ha","2390400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1973","1973","ha","2451600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1974","1974","ha","2752100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1975","1975","ha","2894200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1976","1976","ha","2762200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1977","1977","ha","2866200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1978","1978","ha","3151100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1979","1979","ha","3087800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1980","1980","ha","2610200","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1981","1981","ha","2666600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1982","1982","ha","3193300","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1983","1983","ha","3357600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1984","1984","ha","3109700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","156","Sugar cane","1985","1985","ha","2953200","","Official data"
