Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1961","1961","ha","50000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1962","1962","ha","52000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1963","1963","ha","53000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1964","1964","ha","55000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1965","1965","ha","57000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1966","1966","ha","58000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1967","1967","ha","60000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1968","1968","ha","62000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1969","1969","ha","63000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1970","1970","ha","65000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1971","1971","ha","67000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1972","1972","ha","69000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1973","1973","ha","70000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1974","1974","ha","90000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1975","1975","ha","100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1976","1976","ha","115000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1977","1977","ha","120000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1978","1978","ha","100000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1979","1979","ha","150000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1980","1980","ha","160000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1981","1981","ha","190000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1982","1982","ha","180000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1983","1983","ha","200000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1984","1984","ha","230000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1985","1985","ha","260000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1986","1986","ha","250000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1987","1987","ha","293692","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1988","1988","ha","235776","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1989","1989","ha","344415","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1990","1990","ha","290279","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1991","1991","ha","289077","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1992","1992","ha","308653","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1993","1993","ha","310000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1994","1994","ha","350000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1995","1995","ha","350000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1996","1996","ha","374893","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1997","1997","ha","400000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1998","1998","ha","410000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","1999","1999","ha","470000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2000","2000","ha","460000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2001","2001","ha","460000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2002","2002","ha","458100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2003","2003","ha","478800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2004","2004","ha","502800","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2005","2005","ha","505400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2006","2006","ha","546100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2007","2007","ha","596000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2008","2008","ha","566000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2009","2009","ha","599100","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2010","2010","ha","634400","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2011","2011","ha","865000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2012","2012","ha","907000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2013","2013","ha","880000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2014","2014","ha","882030","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2015","2015","ha","767000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2016","2016","ha","774000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2017","2017","ha","797000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","388","Tomatoes","2018","2018","ha","789000","","Official data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1961","1961","hg/ha","92800","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1962","1962","hg/ha","92308","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1963","1963","hg/ha","93396","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1964","1964","hg/ha","92727","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1965","1965","hg/ha","92105","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1966","1966","hg/ha","93103","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1967","1967","hg/ha","93333","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1968","1968","hg/ha","93548","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1969","1969","hg/ha","95238","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1970","1970","hg/ha","95385","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1971","1971","hg/ha","95522","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1972","1972","hg/ha","94203","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1973","1973","hg/ha","94286","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1974","1974","hg/ha","83333","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1975","1975","hg/ha","83000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1976","1976","hg/ha","91304","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1977","1977","hg/ha","85000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1978","1978","hg/ha","95000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1979","1979","hg/ha","86667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1980","1980","hg/ha","93750","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1981","1981","hg/ha","94737","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1982","1982","hg/ha","97222","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1983","1983","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1984","1984","hg/ha","91304","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1985","1985","hg/ha","88462","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1986","1986","hg/ha","91200","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1987","1987","hg/ha","81268","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1988","1988","hg/ha","131621","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1989","1989","hg/ha","133560","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1990","1990","hg/ha","158587","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1991","1991","hg/ha","146825","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1992","1992","hg/ha","157120","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1993","1993","hg/ha","161290","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1994","1994","hg/ha","140857","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1995","1995","hg/ha","150286","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1996","1996","hg/ha","160046","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1997","1997","hg/ha","175000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1998","1998","hg/ha","150732","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","1999","1999","hg/ha","175957","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","2000","2000","hg/ha","161522","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","2001","2001","hg/ha","157391","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","2002","2002","hg/ha","162897","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","2003","2003","hg/ha","159079","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","2004","2004","hg/ha","161607","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","2005","2005","hg/ha","174622","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","2006","2006","hg/ha","179828","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","388","Tomatoes","2007","2007","hg/ha","168708","Fc","Calculated data"
