Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1961","1961","ha","6500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1962","1962","ha","6800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1963","1963","ha","7000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1964","1964","ha","7500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1965","1965","ha","7600","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1966","1966","ha","7900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1967","1967","ha","8000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1968","1968","ha","8400","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1969","1969","ha","8700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1970","1970","ha","8900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1971","1971","ha","9500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1972","1972","ha","9900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1973","1973","ha","10000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1974","1974","ha","10200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1975","1975","ha","10500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1976","1976","ha","10700","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1977","1977","ha","10900","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1978","1978","ha","11000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1979","1979","ha","11500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1980","1980","ha","12000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","567","Watermelons","1981","1981","ha","12400","F","FAO estimate"
