Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1961,1961,ha,12927000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1962,1962,ha,13570000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1963,1963,ha,13590000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1964,1964,ha,13499000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1965,1965,ha,13422000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1966,1966,ha,12572000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1967,1967,ha,12838000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1968,1968,ha,14998200,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1969,1969,ha,15958100,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1970,1970,ha,16625500,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1971,1971,ha,18240496,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1972,1972,ha,19138896,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1973,1973,ha,19463600,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1974,1974,ha,18583008,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1975,1975,ha,18010304,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1976,1976,ha,20453808,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1977,1977,ha,20921504,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1978,1978,ha,21455696,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1979,1979,ha,22641200,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1980,1980,ha,22171696,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1981,1981,ha,22278800,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1982,1982,ha,22144400,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1983,1983,ha,23567408,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1984,1984,ha,24672000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1985,1985,ha,23564896,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1986,1986,ha,22997408,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1987,1987,ha,23131200,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1988,1988,ha,23062704,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1989,1989,ha,24109104,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1990,1990,ha,23501904,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1991,1991,ha,24167104,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1992,1992,ha,23261904,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1993,1993,ha,24588900,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1994,1994,ha,25147300,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1995,1995,ha,25700000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1996,1996,ha,25011000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1997,1997,ha,25887100,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1998,1998,ha,26696100,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,1999,1999,ha,27523300,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2000,2000,ha,27486000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2001,2001,ha,25730600,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2002,2002,ha,26344700,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2003,2003,ha,25195700,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2004,2004,ha,26594700,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2005,2005,ha,26382900,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2006,2006,ha,26483600,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2007,2007,ha,27994500,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2008,2008,ha,28038600,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2009,2009,ha,27752400,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2010,2010,ha,28457400,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2011,2011,ha,29068600,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2012,2012,ha,29860000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2013,2013,ha,29650000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2014,2014,ha,30470000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2015,2015,ha,31470000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2016,2016,ha,30420000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2017,2017,ha,30785230,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,15,Wheat,2018,2018,ha,29650590,,Official data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1961,1961,hg/ha,8507,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1962,1962,hg/ha,8896,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1963,1963,hg/ha,7929,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1964,1964,hg/ha,7299,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1965,1965,hg/ha,9132,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1966,1966,hg/ha,8268,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1967,1967,hg/ha,8874,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1968,1968,hg/ha,11028,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1969,1969,hg/ha,11688,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1970,1970,hg/ha,12086,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1971,1971,hg/ha,13066,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1972,1972,hg/ha,13799,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1973,1973,hg/ha,12708,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1974,1974,hg/ha,11719,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1975,1975,hg/ha,13384,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1976,1976,hg/ha,14103,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1977,1977,hg/ha,13866,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1978,1978,hg/ha,14798,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1979,1979,hg/ha,15683,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1980,1980,hg/ha,14356,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,15,Wheat,1981,1981,hg/ha,16299,Fc,Calculated data
